Metric,Average Train Score,Average Test Score,Final Test Score,,,25 epoch
accuracy_score,0.835276074,0.7631901840490798,0.7570552147239263,,,
f1_score,0.7759180382442487,0.6935940393276947,0.6915887850467289,,,
roc_auc_score,0.9663712174508706,0.8949356648646937,0.9022285734958938,,,
recall_score,0.7700862320378894,0.7069293710325983,0.5648854961832062,,,
matthews_corrcoef,0.6911624129231363,0.5564148488385426,0.5433748139963783,,,
