Metric,Average Train Score,Average Test Score,Final Test Score,,,,,,,
accuracy_score,0.7358895705521473,0.696319018,0.803680982,,,,,,,
f1_score,0.7658905524010986,0.7291842063409405,0.7759103641456583,,,,,,,15 epoch
roc_auc_score,0.9430058549460837,0.8900760413258089,0.8967053772777154,,,,,,,
recall_score,0.9304384481678255,0.8957687399763753,0.7048346055979644,,,,,,,
matthews_corrcoef,0.5632721345854648,0.4883744133855707,0.6141855121486777,,,,,,,
