Metric,Average Train Score,Average Test Score,Final Test Score
accuracy_score,0.6805214723926382,0.6607361963190184,0.6233128834355828
f1_score,0.449303848774716,0.424552916377653,0.4084778420038536
roc_auc_score,0.8332441298357883,0.8137688670777992,0.788520675807677
recall_score,0.3262688238278462,0.3082882728630474,0.2697201017811705
matthews_corrcoef,0.3709968586567364,0.33033543386112735,0.3072906251301239
